証券コード,EDINETコード,提出者名
23590,E05331,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ
37100,E05332,株式会社コア
37120,E05338,株式会社創通
37190,E05340,株式会社情報企画
37230,E05348,ＡＩストーム株式会社
37270,E05360,日本ファルコム株式会社
39780,E05369,株式会社アプリックス
37330,E05372,株式会社マクロミル
37410,E05392,株式会社ティーガイア
37390,E05400,株式会社セック
37440,E05405,ＩＴｂｏｏｋ株式会社
24110,E05413,サイオス株式会社
37470,E05417,ゲンダイエージェンシー株式会社
37530,E05431,エキサイト株式会社
37500,E05432,株式会社フライトソリューションズ
37870,E05443,株式会社サイトリ細胞研究所
37600,E05445,株式会社テクノマセマティカル
37580,E05449,株式会社ケイブ
38070,E05453,株式会社アエリア
37620,E05457,株式会社フィスコ
37630,E05463,テクマトリックス株式会社
37660,E05466,株式会社プロシップ
37680,E05469,システムズ・デザイン株式会社
37650,E05471,リスクモンスター株式会社
37690,E05474,ガンホー・オンライン・エンターテイメント株式会社
37740,E05476,ＧＭＯペイメントゲートウェイ株式会社
94250,E05480,株式会社インターネットイニシアティブ
37700,E05481,ＲｅＹｕｕ　Ｊａｐａｎ株式会社
33710,E05484,株式会社ザッパラス
37710,E05485,株式会社ソフトクリエイトホールディングス
37760,E05487,株式会社システムリサーチ
37730,E05494,株式会社ブロードバンドタワー
37750,E05496,株式会社アドバンスト・メディア
94280,E05497,株式会社ガイアックス
37770,E05504,株式会社クロップス
38040,E05513,株式会社ＷＯＷ　ＷＯＲＬＤ
37780,E05516,株式会社システム　ディ
37980,E05518,さくらインターネット株式会社
94230,E05521,ＵＬＳグループ株式会社
37790,E05538,株式会社エイティング
37880,E05543,ジェイ・エスコムホールディングス株式会社
37960,E05548,エヌ・デーソフトウェア株式会社
37930,E05551,株式会社いい生活
37990,E05552,株式会社ドリコム
38000,E05553,キーウェアソリューションズ株式会社
94210,E05561,株式会社ユニリタ
38030,E05570,株式会社エヌジェイホールディングス
38020,E05573,イメージ情報開発株式会社
24840,E05578,株式会社エコミック
38080,E05584,株式会社出前館
30400,E05587,株式会社オウケイウェイヴ
38100,E05592,株式会社ソリトンシステムズ
30420,E05605,ビットアイル・エクイニクス株式会社
21380,E05606,株式会社セキュアヴェイル
38150,E05621,クルーズ株式会社
38230,E05622,株式会社メディア工房
38140,E05630,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ株式会社
38160,E05633,株式会社アルファクス・フード・システム
38170,E05638,株式会社Ｍｉｎｏｒｉソリューションズ
38240,E05640,株式会社ＳＲＡホールディングス
38260,E05641,メディアファイブ株式会社
38250,E05643,株式会社システムインテグレータ
43440,E05645,株式会社リミックスポイント
38350,E05653,株式会社パイプドビッツ
38360,E05659,ｅＢＡＳＥ株式会社
38370,E05663,株式会社アバントグループ
38410,E05664,アドソル日進株式会社
38400,E05669,株式会社ジーダット
38420,E05674,パス株式会社
38440,E05677,株式会社ネクストジェン
38390,E05678,コムチュア株式会社
38430,E05679,株式会社ＯＤＫソリューションズ
38450,E05680,フリービット株式会社
38470,E05682,株式会社アイフリークモバイル
38480,E05687,パシフィックシステム株式会社
38490,E05688,株式会社データ・アプリケーション
38500,E05690,日本テクノ・ラボ株式会社
38530,E05694,株式会社エヌ・ティ・ティ・データ・イントラマート
38540,E05703,サイバーコム株式会社
36240,E05705,株式会社アイル
38560,E05707,アクセルマーク株式会社
38580,E05713,Ａｂａｌａｎｃｅ株式会社
36220,E05720,株式会社ラック
36260,E05736,ネットイヤーグループ株式会社
36230,E05739,ＴＩＳ株式会社
36250,E05741,ビリングシステム株式会社
93990,E05742,テックファームホールディングス株式会社
